,hardware_spec,embedding,horizon,lambda,time
369,fake_tokyo,3,5,0.500002000003,71
370,fake_tokyo,3,6,0.9361841254978984,292
371,fake_tokyo,3,7,0.936185061682024,1195
372,fake_tokyo,4,4,0.5,17
373,fake_tokyo,4,5,0.5000010000005,71
374,fake_tokyo,4,6,0.9103295724077156,292
375,fake_tokyo,4,7,0.9103304827372881,1195
376,fake_tokyo,5,4,0.500006000027,16
377,fake_tokyo,5,5,0.5000075000450002,71
378,fake_tokyo,5,6,0.9430907780572895,293
379,fake_tokyo,5,7,0.9430907780572895,1195
380,fake_tokyo,6,4,0.500002000003,17
381,fake_tokyo,6,5,0.500002000003,70
382,fake_tokyo,6,6,0.9300109374378022,293
383,fake_tokyo,6,7,0.9300129175248044,1196
384,fake_tokyo,7,4,0.500002000003,16
385,fake_tokyo,7,5,0.500002500005,71
386,fake_tokyo,7,6,0.9371072830630544,293
387,fake_tokyo,7,7,0.9371082201703373,1194
388,fake_tokyo,8,4,0.500002000003,17
389,fake_tokyo,8,5,0.500002500005,71
390,fake_tokyo,8,6,0.9465648655705095,292
391,fake_tokyo,8,7,0.9465668449032076,1195
392,fake_tokyo,9,4,0.500002000003,17
393,fake_tokyo,9,5,0.500002500005,70
394,fake_tokyo,9,6,0.9561582863541936,293
395,fake_tokyo,9,7,0.95615924251248,1177
396,fake_poughkeepsie,0,4,0.500002000003,10
397,fake_poughkeepsie,0,5,0.500002000003,43
398,fake_poughkeepsie,0,6,0.9639500953896687,180
399,fake_poughkeepsie,0,7,0.9639520822633839,739
400,fake_poughkeepsie,1,4,0.500002000003,10
401,fake_poughkeepsie,1,5,0.500002000003,44
402,fake_poughkeepsie,1,6,0.9696523204431708,179
403,fake_poughkeepsie,1,7,0.9696553841124994,733
404,fake_poughkeepsie,2,4,0.500002000003,11
405,fake_poughkeepsie,2,5,0.500002000003,43
406,fake_poughkeepsie,2,6,0.8908460099139961,180
407,fake_poughkeepsie,2,7,0.890846900760006,733
408,fake_poughkeepsie,3,4,0.500002000003,11
409,fake_poughkeepsie,3,5,0.500002500005,43
410,fake_poughkeepsie,3,6,0.9226484105370595,180
411,fake_poughkeepsie,3,7,0.92264933318547,733
412,fake_poughkeepsie,4,4,0.500002000003,11
413,fake_poughkeepsie,4,5,0.500002000003,42
414,fake_poughkeepsie,4,6,0.8581946564184002,178
415,fake_poughkeepsie,4,7,0.8581955146130567,724
416,fake_poughkeepsie,5,4,0.5,10
417,fake_poughkeepsie,5,5,0.5000010000005,43
418,fake_poughkeepsie,5,6,0.8666634374596437,176
419,fake_poughkeepsie,5,7,0.8666643041230812,716
420,fake_johannesburg,0,4,0.500006000027,11
421,fake_johannesburg,0,5,0.5000075000450002,48
422,fake_johannesburg,0,6,0.9543161474029619,199
423,fake_johannesburg,0,7,0.9543161474029619,813
424,fake_johannesburg,1,4,0.500002000003,11
425,fake_johannesburg,1,5,0.500002500005,48
426,fake_johannesburg,1,6,0.9537623486973882,200
427,fake_johannesburg,1,7,0.9537643306525853,813
428,fake_johannesburg,2,4,0.500004000012,11
429,fake_johannesburg,2,5,0.50000500002,48
430,fake_johannesburg,2,6,0.9392938186017141,200
431,fake_johannesburg,2,7,0.9392938186017141,813
432,fake_johannesburg,3,4,0.5,12
433,fake_johannesburg,3,5,0.5,48
434,fake_johannesburg,3,6,0.9373585816999426,199
435,fake_johannesburg,3,7,0.9373606750302798,813
436,fake_johannesburg,4,4,0.5,11
437,fake_johannesburg,4,5,0.5,48
438,fake_johannesburg,4,6,0.9515274642026867,199
439,fake_johannesburg,4,7,0.9515285766267619,814
440,fake_boeblingen,0,4,0.500002000003,11
441,fake_boeblingen,0,5,0.500002500005,45
442,fake_boeblingen,0,6,0.9669225177081133,189
443,fake_boeblingen,0,7,0.9669265527720075,769
444,fake_boeblingen,1,4,0.5,28
445,fake_boeblingen,1,5,0.500000499999,160
446,fake_boeblingen,1,6,0.9808946045990827,902
447,fake_boeblingen,1,7,0.980895648340917,4990
448,fake_boeblingen,2,4,0.500002000003,11
449,fake_boeblingen,2,5,0.500002000003,46
450,fake_boeblingen,2,6,0.9648254725931509,188
451,fake_boeblingen,2,7,0.9648264374186234,770
452,fake_boeblingen,3,4,0.5000010000005,11
453,fake_boeblingen,3,5,0.5000015000015,46
454,fake_boeblingen,3,6,0.9658129253259352,188
455,fake_boeblingen,3,7,0.96581394985226,770
456,fake_boeblingen,4,4,0.500002000003,11
457,fake_boeblingen,4,5,0.500002000003,45
458,fake_boeblingen,4,6,0.9673526700192281,189
459,fake_boeblingen,4,7,0.9673557379743066,770
460,fake_boeblingen,5,4,0.500002000003,11
461,fake_boeblingen,5,5,0.500002500005,46
462,fake_boeblingen,5,6,0.9654388352520012,188
463,fake_boeblingen,5,7,0.9654398006908365,770
464,fake_boeblingen,6,4,0.500002000003,11
465,fake_boeblingen,6,5,0.500002000003,46
466,fake_boeblingen,6,6,0.9673343748679695,189
467,fake_boeblingen,6,7,0.9673353422023444,770
468,fake_almaden,0,4,0.5000010000005,11
469,fake_almaden,0,5,0.5000015000015,46
470,fake_almaden,0,6,0.9693748736007044,190
471,fake_almaden,0,7,0.9693779369852358,777
472,fake_almaden,1,4,0.500002000003,28
473,fake_almaden,1,5,0.500002500005,162
474,fake_almaden,1,6,0.9726670127489527,910
475,fake_almaden,1,7,0.972672022844906,5034
476,fake_almaden,2,4,0.500002000003,11
477,fake_almaden,2,5,0.500002000003,46
478,fake_almaden,2,6,0.9435223508814122,190
479,fake_almaden,2,7,0.9435273858546205,777
480,fake_almaden,3,4,0.5,11
481,fake_almaden,3,5,0.5,46
482,fake_almaden,3,6,0.9642136771780689,191
483,fake_almaden,3,7,0.9642167515827761,776
484,fake_almaden,4,4,0.500002000003,11
485,fake_almaden,4,5,0.500002000003,46
486,fake_almaden,4,6,0.9240776510099648,191
487,fake_almaden,4,7,0.9240826883125747,776
488,fake_almaden,5,4,0.500002000003,11
489,fake_almaden,5,5,0.500002000003,46
490,fake_almaden,5,6,0.9390193049645346,190
491,fake_almaden,5,7,0.939023372120734,778
492,fake_almaden,6,4,0.5000010000005,11
493,fake_almaden,6,5,0.5000015000015,45
494,fake_almaden,6,6,0.971129168627515,191
495,fake_almaden,6,7,0.9711321522169318,777
496,fake_almaden,7,4,0.5,11
497,fake_almaden,7,5,0.5,46
498,fake_almaden,7,6,0.8688019187623244,190
499,fake_almaden,7,7,0.8688037289416334,777
500,fake_almaden,8,4,0.5,11
