,hardware_spec,embedding_index,horizon,hcxh,hcxh2,twoq,twoq2,h-h2,h-q,h-q2,h2-q,h2-q2,q-q2
888,fake_singapore,0,5,0.8314097426451377,0.8408943399877183,0.7925606425190728,0.8377398587019815,-0.00948459734258067,0.038849100126064906,-0.00633011605684386,0.048333697468645576,0.00315448128573681,-0.045179216182908766
889,fake_singapore,0,6,0.8314097426451377,0.8425161158794979,,,-0.011106373234360256,,,,,
890,fake_singapore,1,2,0.830914514555,0.8309136792,,0.830914514555,8.353549999506882e-07,,0.0,,-8.353549999506882e-07,
891,fake_singapore,1,3,0.83091551239,0.8309136792,0.8309136792,0.830914514555,1.8331900000223555e-06,1.8331900000223555e-06,9.978350000716674e-07,0.0,-8.353549999506882e-07,-8.353549999506882e-07
892,fake_singapore,1,4,0.83091551239,0.8309136792,0.8309136792,0.8507949414186253,1.8331900000223555e-06,1.8331900000223555e-06,-0.019879429028625273,0.0,-0.019881262218625295,-0.019881262218625295
893,fake_singapore,1,5,0.83091551239,0.8374224915010344,0.8309136792,0.8507949499911794,-0.006506979111034372,1.8331900000223555e-06,-0.019879437601179384,0.0065088123010343946,-0.013372458490145012,-0.019881270791179406
894,fake_singapore,1,6,0.83091551239,0.8405898827865472,,,-0.009674370396547172,,,,,
895,fake_singapore,2,2,0.794901141188,0.7948911732,,0.794900141725,9.96798800001475e-06,,9.99463000028733e-07,,-8.968524999986016e-06,
896,fake_singapore,2,3,0.794901141726,0.7948911732,0.7948911786,0.794900141725,9.96852599999265e-06,9.963125999989941e-06,1.000001000006634e-06,-5.4000000027087935e-09,-8.968524999986016e-06,-8.963124999983307e-06
897,fake_singapore,2,4,0.8023643798640161,0.8023633316381,0.7948911786,0.8395440165000184,1.0482259160671248e-06,0.007473201264016072,-0.03717963663600232,0.0074721530381000045,-0.03718068486191839,-0.044652837900018394
898,fake_singapore,2,5,0.8023643798640161,0.8390985859058206,0.7948911786,0.8395440350250514,-0.03673420604180455,0.007473201264016072,-0.037179655161035274,0.04420740730582062,-0.00044544911923072306,-0.044652856425051346
899,fake_singapore,2,6,0.8023643798640161,0.8404185796872938,,,-0.038054199823277735,,,,,
900,fake_singapore,3,2,0.820132241112,0.8201230677,,0.820131241957,9.173412000018644e-06,,9.9915499995884e-07,,-8.174257000059804e-06,
901,fake_singapore,3,3,0.820132241112,0.8201230677,0.8201230677,0.820131241957,9.173412000018644e-06,9.173412000018644e-06,9.9915499995884e-07,0.0,-8.174257000059804e-06,-8.174257000059804e-06
902,fake_singapore,3,4,0.820132241112,0.8201230677,0.8201230677,0.848518567290847,9.173412000018644e-06,9.173412000018644e-06,-0.028386326178846955,0.0,-0.028395499590846973,-0.028395499590846973
903,fake_singapore,3,5,0.820132241112,0.8364170698072055,0.8201230677,0.8485185862795773,-0.016284828695205533,9.173412000018644e-06,-0.02838634516757732,0.016294002107205552,-0.012101516472371787,-0.02839551857957734
904,fake_singapore,3,6,0.820132241112,0.836834538444901,,,-0.01670229733290096,,,,,
905,fake_singapore,4,2,0.794900141725,0.7948911732,,0.794900141725,8.968524999986016e-06,,0.0,,-8.968524999986016e-06,
906,fake_singapore,4,3,0.79490114065,0.7948911732,0.7949011624,0.794900141725,9.967449999925826e-06,-2.175000002324623e-08,9.989249999398098e-07,-9.989199999949072e-06,-8.968524999986016e-06,1.020674999963056e-06
907,fake_singapore,4,4,0.79490114065,0.7948911732,0.7949011624,0.8395440165000184,9.967449999925826e-06,-2.175000002324623e-08,-0.04464287585001847,-9.989199999949072e-06,-0.0446528433000184,-0.04464285410001845
908,fake_singapore,4,5,0.79490114065,0.8334788397728939,0.7949011624,0.8395440350250514,-0.038577699122893994,-2.175000002324623e-08,-0.04464289437505142,0.03857767737289397,-0.006065195252157429,-0.0446428726250514
909,fake_singapore,4,6,0.79490114065,0.8337841404161289,,,-0.03888299976612897,,,,,
910,fake_singapore,5,2,0.794899142262,0.7948911732,,0.794900141725,7.969061999957283e-06,,-9.99463000028733e-07,,-8.968524999986016e-06,
911,fake_singapore,5,3,0.794901141726,0.794899122111732,0.794909111411624,0.794900141725,2.019614268045089e-06,-7.96968562399858e-06,1.000001000006634e-06,-9.989299892043668e-06,-1.019613268038455e-06,8.969686624005213e-06
912,fake_singapore,5,4,0.8351236788295284,0.835165062280596,0.794909111411624,0.8395440165000184,-4.1383451067522614e-05,0.04021456741790441,-0.004420337670489993,0.040255950868971935,-0.004378954219422471,-0.044634905088394405
913,fake_singapore,5,5,0.8351236788295284,0.8448454690466847,0.7981712508799136,0.8395440350250514,-0.009721790217156245,0.03695242794961484,-0.004420356195522945,0.046674218166771086,0.0053014340216333,-0.041372784145137786
914,fake_singapore,5,6,0.8351236788295284,0.8464059313919637,,,-0.011282252562435313,,,,,
915,fake_sydney,0,2,0.810357914514,0.8103374794,,0.810357914514,2.0435113999961452e-05,,0.0,,-2.0435113999961452e-05,
