horizon,alg_index,hardware_spec,embedding_index,acc
3,2,fake_singapore,1,0.982679288
3,2,fake_singapore,2,0.911636616
3,2,fake_singapore,3,0.9531167925
3,2,fake_tokyo,0,0.93876008
3,2,fake_tokyo,1,0.883925612
3,2,fake_tokyo,2,0.810013819
3,2,fake_tokyo,3,0.974083725
3,2,fake_tokyo,4,0.950299923
3,2,fake_hanoi,0,0.9671037568
3,2,fake_hanoi,1,0.9936343379
3,2,fake_hanoi,2,0.9217489622
3,2,fake_hanoi,3,0.9305122148
3,2,fake_cairo,0,0.9902558224
3,2,fake_cairo,1,0.8935508
3,2,fake_cairo,2,0.9830907968
3,2,fake_cairo,3,0.994245627
3,2,fake_mumbai,0,0.9690892688
3,2,fake_mumbai,1,0.985793102
3,2,fake_mumbai,2,0.9558056287
3,2,fake_mumbai,3,0.8987290136
3,2,fake_kolkata,0,0.9950326664
3,2,fake_kolkata,1,0.9528384237
3,2,fake_kolkata,2,0.9930722612
3,2,fake_kolkata,3,0.978813798
3,2,fake_auckland,0,0.8643946595
3,2,fake_auckland,1,0.9934923952
3,2,fake_geneva,0,0.8584669594
3,2,fake_geneva,1,0.9858616048
3,2,fake_montreal,0,0.9887723971
3,2,fake_montreal,1,0.9928206431
3,2,fake_montreal,2,0.9032080476
3,2,fake_paris,0,0.990534968
3,2,fake_paris,1,0.7887821288
3,2,fake_paris,2,0.8969232905
3,2,fake_sydney,0,0.8814584264
3,2,fake_sydney,1,0.9906048042
3,2,fake_toronto,0,0.9920700592
3,2,fake_toronto,1,0.9858622971
3,2,fake_toronto,2,0.7252472145
3,2,fake_brooklyn,0,0.9110959856
3,2,fake_brooklyn,1,0.9873639875
3,2,fake_brooklyn,2,0.9304135845
3,2,fake_brooklyn,3,0.9871401656
3,2,fake_manhattan,0,0.945377042
3,2,fake_manhattan,1,0.9598735
3,2,fake_manhattan,2,0.8274583187
3,2,fake_manhattan,3,0.5962218044
3,2,fake_manhattan,4,0.9935375727
3,2,fake_cambridge,0,0.60970531
3,2,fake_cambridge,1,0.919350101
3,2,fake_cambridge,2,0.610829726
3,2,fake_cambridge,3,0.982563851
3,2,fake_guadalupe,0,0.939323321
3,2,fake_guadalupe,1,0.9881798782
3,2,fake_melbourne,0,0.973302077
3,2,fake_melbourne,1,0.96964374
3,2,fake_melbourne,2,0.9409671464
3,2,fake_melbourne,3,0.8128800694
3,2,fake_rochester,0,0.78869239
3,2,fake_rochester,1,0.79000655
3,2,fake_rochester,2,0.61910378
3,2,fake_rochester,3,0.98920571
3,2,fake_rochester,4,0.59687678
3,2,fake_washington,0,0.9874264144
3,2,fake_washington,1,0.754417325
3,2,fake_washington,2,0.9970722196
4,0,fake_johannesburg,0,0.9107100662699948
4,0,fake_johannesburg,1,0.7854546261910744
4,0,fake_johannesburg,2,0.903175918936186
4,0,fake_johannesburg,3,0.9622479040899135
4,0,fake_almaden,0,0.8066679693593098
4,0,fake_almaden,1,0.9189950568267214
4,0,fake_almaden,2,0.9559913615476453
4,0,fake_almaden,3,0.7948032813021869
4,0,fake_boeblingen,0,0.942467839350468
4,0,fake_boeblingen,1,0.7435431553367327
4,0,fake_boeblingen,2,0.9627849255541311
4,0,fake_boeblingen,3,0.856112967173471
4,0,fake_poughkeepsie,0,0.94727555838784
4,0,fake_poughkeepsie,1,0.9610895493439
4,0,fake_poughkeepsie,2,0.8751738229824
