horizon,diff_index,real_hardware,acc,ins
4,1,fake_sydney5,0.028,-1
4,0,fake_cairo0,0.984,-1
4,1,fake_cairo0,0.018,-1
4,0,fake_cairo1,0.967,-1
4,1,fake_cairo1,0.037,-1
4,0,fake_cairo2,0.972,-1
4,1,fake_cairo2,0.026,-1
4,0,fake_cairo3,0.982,-1
4,1,fake_cairo3,0.017,-1
4,0,fake_cairo4,0.987,-1
4,1,fake_cairo4,0.017,-1
4,0,fake_cairo5,0.88,-1
4,1,fake_cairo5,0.116,-1
4,0,fake_cairo6,0.886,-1
4,1,fake_cairo6,0.12,-1
4,0,fake_cairo7,0.97,-1
4,1,fake_cairo7,0.023,-1
4,0,fake_cairo8,0.957,-1
4,1,fake_cairo8,0.043,-1
4,0,fake_cairo9,0.96,-1
4,1,fake_cairo9,0.035,-1
4,0,fake_hanoi0,0.944,-1
4,1,fake_hanoi0,0.057,-1
4,0,fake_hanoi1,0.954,-1
4,1,fake_hanoi1,0.04,-1
4,0,fake_hanoi2,0.984,-1
4,1,fake_hanoi2,0.017,-1
4,0,fake_hanoi3,0.984,-1
4,1,fake_hanoi3,0.019,-1
4,0,fake_hanoi4,0.908,-1
4,1,fake_hanoi4,0.093,-1
4,0,fake_hanoi5,0.907,-1
4,1,fake_hanoi5,0.091,-1
4,0,fake_hanoi6,0.919,-1
4,1,fake_hanoi6,0.07,-1
4,0,fake_geneva0,0.85,-1
4,1,fake_geneva0,0.16,-1
4,0,fake_geneva1,0.964,-1
4,1,fake_geneva1,0.04,-1
4,0,fake_geneva2,0.97,-1
4,1,fake_geneva2,0.029,-1
4,0,fake_cambridge0,0.489,-1
4,1,fake_cambridge0,0.497,-1
4,0,fake_cambridge1,0.848,-1
4,1,fake_cambridge1,0.151,-1
4,0,fake_cambridge2,0.612,-1
4,1,fake_cambridge2,0.395,-1
4,0,fake_cambridge3,0.919,-1
4,1,fake_cambridge3,0.083,-1
4,0,fake_cambridge4,0.947,-1
4,1,fake_cambridge4,0.057,-1
4,0,fake_rochester0,0.745,-1
4,1,fake_rochester0,0.248,-1
4,0,fake_rochester1,0.774,-1
4,1,fake_rochester1,0.241,-1
4,0,fake_rochester2,0.6,-1
4,1,fake_rochester2,0.392,-1
4,0,fake_rochester3,0.948,-1
4,1,fake_rochester3,0.054,-1
4,0,fake_rochester4,0.589,-1
4,1,fake_rochester4,0.422,-1
4,0,fake_brooklyn0,0.871,-1
4,1,fake_brooklyn0,0.139,-1
4,0,fake_brooklyn1,0.973,-1
4,1,fake_brooklyn1,0.025,-1
4,0,fake_brooklyn2,0.979,-1
4,1,fake_brooklyn2,0.029,-1
4,0,fake_brooklyn3,0.978,-1
4,1,fake_brooklyn3,0.025,-1
4,0,fake_brooklyn4,0.975,-1
4,1,fake_brooklyn4,0.022,-1
4,0,fake_brooklyn5,0.907,-1
4,1,fake_brooklyn5,0.1,-1
4,0,fake_manhattan0,0.479,-1
4,1,fake_manhattan0,0.529,-1
4,0,fake_manhattan1,0.47,-1
4,1,fake_manhattan1,0.51,-1
4,0,fake_manhattan2,0.946,-1
4,1,fake_manhattan2,0.054,-1
4,0,fake_manhattan3,0.792,-1
